Code;;Magnitude Degree;Density;Groups;Number of Groups;Comment;Creation Date;Date Modified
;● Browser-Based Applications;1;0;ATLAS;1;;4/5/25;5/12/25
;● Client Application Development;1;0;ATLAS;1;;4/5/25;5/12/25
;● Command Execution;3;0;ATLAS;1;;4/5/25;5/12/25
;● Command Line Interface;4;0;ATLAS;1;;4/3/25;5/12/25
;● Cross-Platform Runtime;8;0;ATLAS;1;;4/2/25;5/12/25
;● Custom Solutions;6;0;ATLAS;1;;4/4/25;5/12/25
;● Custom Tasks;4;0;ATLAS;1;;4/3/25;5/12/25
;● Dashboard Functionality;5;0;ATLAS;1;;4/4/25;5/12/25
;● Data-Centric Edge Programming Model;1;0;ATLAS;1;;4/6/25;5/12/25
;● Debugging Techniques;1;0;ATLAS;1;;4/2/25;5/12/25
;● Developer Support;1;0;ATLAS;1;;4/6/25;5/12/25
;● Dynamic Application Management;1;0;ATLAS;1;;4/5/25;5/12/25
;● Dynamic Library Usage;1;0;ATLAS;1;;4/5/25;5/12/25
;● Easy Development Features;15;0;ATLAS;1;;4/2/25;5/12/25
;● Easy Sharing;1;0;ATLAS;1;;4/3/25;5/12/25
;● Error Handling;6;0;ATLAS;1;;4/1/25;5/12/25
;● Frontend Interaction;1;0;ATLAS;1;;4/5/25;5/12/25
;● Function Call;1;0;ATLAS;1;;4/5/25;5/12/25
;● Functions List;1;0;ATLAS;1;;4/5/25;5/12/25
;● Input and Output;0;0;ATLAS;1;;4/2/25;5/12/25
;● Language Supports;1;0;ATLAS;1;;4/6/25;5/12/25
;● Low Debugging Difficulty;1;0;Jander;1;;4/2/25;5/12/25
;● Modification Proposals;1;0;ATLAS;1;;4/2/25;5/12/25
;● Open-Source Project;0;0;ATLAS;1;;4/5/25;5/12/25
;● Programming Language Support;1;0;ATLAS;1;;4/5/25;5/12/25
;● Reusable Content;1;0;ATLAS;1;;4/5/25;5/12/25
;● Script Utilization;1;0;ATLAS;1;;4/5/25;5/12/25
;● SDK Availability;1;0;ATLAS;1;;4/5/25;5/12/25
;● Service Build;2;0;ATLAS;1;;4/5/25;5/12/25
;● Tailored Solutions;3;0;ATLAS;1;;4/4/25;5/12/25
;● Task Factory;3;0;ATLAS;1;;4/3/25;5/12/25
;● Testing Practices;1;0;ATLAS;1;;4/6/25;5/12/25
;● Text-based User Interface;2;0;ATLAS;1;;4/3/25;5/12/25
;● User Interaction;12;0;ATLAS;1;;4/2/25;5/12/25
;● User-defined Modules;5;0;ATLAS;1;;4/4/25;5/12/25
;● User-defined Passes;1;0;ATLAS;1;;4/3/25;5/12/25
;● User-Friendly APIs;11;0;ATLAS;1;;4/2/25;5/12/25
;● Visual Context;1;0;ATLAS;1;;4/5/25;5/12/25
;● Web-Based Interface;2;0;ATLAS;1;;4/5/25;5/12/25
● T15. DevOps, CI/CD & Build Environments for Edge;;37;0;Themes;1;;4/9/25;5/12/25
;● Branch Environments;1;0;ATLAS;1;;4/5/25;5/12/25
;● Code Review;1;0;ATLAS;1;;4/6/25;5/12/25
;● Collaborators Interaction;1;0;ATLAS;1;;4/3/25;5/12/25
;● Consistent Tool Usage;1;0;ATLAS;1;;4/3/25;5/12/25
;● Container Engines;3;0;ATLAS;1;;4/3/25;5/12/25
;● Container Image Building;1;0;ATLAS;1;;4/5/25;5/12/25
;● Container Isolation;1;0;ATLAS;1;;4/5/25;5/12/25
;● Containerized Deployments;2;0;ATLAS;1;;4/5/25;5/12/25
;● Deployment Environment;13;0;ATLAS;1;;4/2/25;5/12/25
;● Docker Container Mode;10;0;ATLAS;1;;3/25/25;5/12/25
;● Docker Engine Communication;1;0;ATLAS;1;;4/3/25;5/12/25
;● GitOps Management;1;0;ATLAS;1;;4/5/25;5/12/25
;● Kubernetes Cluster Management;7;0;ATLAS;1;;4/2/25;5/12/25
;● Kubernetes Native Platform;1;0;ATLAS;1;;4/5/25;5/12/25
;● Kubernetes Tools;1;0;ATLAS;1;;4/5/25;5/12/25
;● New Process Initialization;2;0;ATLAS;1;;4/5/25;5/12/25
;● OCI-compliant Runtimes;4;0;ATLAS;1;;4/1/25;5/12/25
;● Red Hat OpenShift GitOps;1;0;ATLAS;1;;4/5/25;5/12/25
;● Red Hat OpenShift Pipelines;1;0;ATLAS;1;;4/5/25;5/12/25
;● Single Dockerfile Usage;1;0;ATLAS;1;;4/5/25;5/12/25
● T16. LPWAN/LoRaWAN & Other Long‑Range Low‑Power Communications;;1;0;Themes;1;;4/9/25;5/12/25
;● Long-Range Communication;1;0;ATLAS;1;;4/4/25;5/12/25
;● Low-Power Connected Objects;1;0;ATLAS;1;;4/4/25;5/12/25
● T17. Network Virtualisation, VPNs & SDN at the Edge;;4;0;Themes;1;;4/9/25;5/12/25
;● Network Virtualization;1;0;ATLAS;1;;4/5/25;5/12/25
;● Overlay Networking;2;0;ATLAS;1;;4/5/25;5/12/25
;● Segmentation;1;0;ATLAS;1;;4/3/25;5/12/25
;● Software-Defined Networking;2;0;ATLAS;1;;4/5/25;5/12/25
● T18. Trusted Connectors, Data Sovereignty & Usage Policies;;10;0;Themes;1;;4/9/25;5/12/25
;● Data Usage Control;4;0;ATLAS;1;;4/5/25;5/12/25
;● Identity Translation;1;0;ATLAS;1;;4/3/25;5/12/25
;● Identity Translation Module;2;0;ATLAS;1;;4/3/25;5/12/25
;● Identity Translation Pattern;1;0;ATLAS;1;;4/3/25;5/12/25
;● Policy Engine;1;0;ATLAS;1;;4/5/25;5/12/25
;● Trust Establishment;2;0;ATLAS;1;;4/5/25;5/12/25
;● Trusted Connectors;1;0;ATLAS;1;;4/5/25;5/12/25
