Number;Reference;Name;Text Content;Document;Codes;Number of Codes;Comment;Initial Position;Final Position;Extensão;Creation Date ;Modification Date
1:120;¶ 240;;"""Each vector element additions are carried out by separate threads and pcores, enable huge processing parallelism.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Resource Management, T9. Optimised AI/ML Execution at the Edge: Efficient Execution, T9. Optimised AI/ML Execution at the Edge: Parallel Processing;3;;240;240;1;4/3/25;9/14/25
1:121;¶ 242;;"""The goal for DSL is to provide a programming language that is: Easy to use and learn.""";[ATLAS] - Codifying Fragments;T14. Edge Development Frameworks & Programmability: Easy Development Features, T14. Edge Development Frameworks & Programmability: User-Friendly APIs;2;;242;242;1;4/3/25;9/14/25
1:122;¶ 244;;"""Hide the complexity of hardware implementation from software users.""";[ATLAS] - Codifying Fragments;T4. Modular Edge Architecture & Service Orchestration: Complexity Reduction, T14. Edge Development Frameworks & Programmability: User Interaction, T14. Edge Development Frameworks & Programmability: User-Friendly APIs;3;;244;244;1;4/3/25;9/14/25
1:123;¶ 246;;"""Tensor-core programs are C-program but with some special extensions.""";[ATLAS] - Codifying Fragments;T4. Modular Edge Architecture & Service Orchestration: Core Services, T9. Optimised AI/ML Execution at the Edge: Quantization Techniques, T9. Optimised AI/ML Execution at the Edge: Runtime Optimization, T14. Edge Development Frameworks & Programmability: Easy Development Features;4;;246;246;1;4/3/25;9/14/25
1:124;¶ 248;;"""There is a compiler provided with ztachip that converts these special extension to tensor instructions before the program can then be compiled with standard RISCV C compiler.""";[ATLAS] - Codifying Fragments;T9. Optimised AI/ML Execution at the Edge: Model Partition Converter, T11 – Stream Processing & Event‑Driven Architectures (Edge): Data Transformation and Alerting Services, T11 – Stream Processing & Event‑Driven Architectures (Edge): Processing Pipeline;3;;248;248;1;4/3/25;9/14/25
1:125;¶ 250;;"""Due to limited memory, all tensor operator objects are singleton and overlapped in memory. Users must partition these objects in such a way that they are not in use at the same time.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Resource Management, T9. Optimised AI/ML Execution at the Edge: Memory Management, T10. Resource Efficiency & Performance Optimisation: Performance Variability;3;;250;250;1;4/3/25;9/14/25
1:126;¶ 252;;"""With vector addition example above, traditional architecture requires each vector elements (or a small number of them for the case of vector extension) to be loaded first to memory one at a time and then followed by addition.""";[ATLAS] - Codifying Fragments;T4. Modular Edge Architecture & Service Orchestration: Complexity Reduction, T9. Optimised AI/ML Execution at the Edge: Memory Management, T9. Optimised AI/ML Execution at the Edge: Vector Addition, T10. Resource Efficiency & Performance Optimisation: Performance Improvement;4;;252;252;1;4/3/25;9/14/25
1:127;¶ 254;;"""This would create a lot of memory round trip delay and stall cycles when data is not readily available in L1 cache.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Connection Quality, T9. Optimised AI/ML Execution at the Edge: Memory Layout Conversion, T9. Optimised AI/ML Execution at the Edge: Memory Management, T10. Resource Efficiency & Performance Optimisation: Performance Variability;4;;254;254;1;4/3/25;9/14/25
1:128;¶ 256;;"""p-core program implements the tensor operators that are referenced by tensor-core programs.""";[ATLAS] - Codifying Fragments;T4. Modular Edge Architecture & Service Orchestration: Core Services, T9. Optimised AI/ML Execution at the Edge: Tensor Operators, T11 – Stream Processing & Event‑Driven Architectures (Edge): Data Transformation and Alerting Services;3;;256;256;1;4/3/25;9/14/25
1:129;¶ 258;;"""Magistrala uses NATS as its default messaging backbone, due to its lightweight and performant nature. You can treat its subjects as physical representation of Magistrala channels, where subject name is constructed using channel unique identifier. Magistrala also provides the ability to change your default message broker to RabbitMQ, VerneMQ or Kafka.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Message Transmission, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Broker Configuration, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Channel Management, T9. Optimised AI/ML Execution at the Edge: Lightweight Runtime;4;;258;258;1;4/3/25;9/14/25
1:130;¶ 260;;"""Magistrala platform can be run on the edge as well. Deploying Magistrala on a gateway makes it able to collect, store and analyze data, organize and authenticate devices.""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Authentication Methods, T2. Security, Privacy & Trust Management: Device Access Control, T2. Security, Privacy & Trust Management: Secure On-boarding, T9. Optimised AI/ML Execution at the Edge: Edge Data Processing Applications, T13. Sensor Abstraction & Hardware Interface Integration: Data Collection;5;;260;260;1;4/3/25;9/14/25
1:131;¶ 262;;"""The platform is built upon SuperMQ which is built around 2 main entities: users and clients.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Communication Protocol, T2. Security, Privacy & Trust Management: User and Client Entities;2;;262;262;1;4/3/25;9/14/25
1:132;¶ 264;;"""Zilla is stateless, cloud-native, and supports various network and application protocols, including HTTP, Kafka, SSE, MQTT, gRPC, and WebSocket (additional protocols are on the way).""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Communication Protocol, T1. Edge Connectivity & Communication Protocols: Web-Socket Connection, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Integration;3;;264;264;1;4/3/25;9/14/25
1:133;¶ 266;;"""Zilla has no external dependencies, is stateless, and is highly memory efficient. When deployed as an edge proxy, it scales horizontally to support millions of concurrently connected clients.""";[ATLAS] - Codifying Fragments;T4. Modular Edge Architecture & Service Orchestration: Stateless Architecture, T9. Optimised AI/ML Execution at the Edge: Edge Data Processing Applications, T9. Optimised AI/ML Execution at the Edge: Efficient Execution, T9. Optimised AI/ML Execution at the Edge: Memory Management, T10. Resource Efficiency & Performance Optimisation: Performance Improvement, T10. Resource Efficiency & Performance Optimisation: Scalability;6;;266;266;1;4/3/25;9/14/25
1:134;¶ 268;;"""Zilla supports payload schema specifications for message validation and translation.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Message Transmission, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Payload Schema Specifications, T11 – Stream Processing & Event‑Driven Architectures (Edge): Data Transformation and Alerting Services;3;;268;268;1;4/3/25;9/14/25
1:135;¶ 270;;"""Zilla can terminate TLS and supports JWT-based authorization for REST, SSE, and MQTT endpoints/services.""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Authentication Methods, T2. Security, Privacy & Trust Management: JWT-based Authorization, T2. Security, Privacy & Trust Management: Security Settings, T2. Security, Privacy & Trust Management: SSL/TLS Configuration;4;;270;270;1;4/3/25;9/14/25
1:136;¶ 272;;"""Zilla can expose a Prometheus metrics endpoint and logs events to stdout. Additionally, Zilla supports OpenTelemetry for both metrics and logging.""";[ATLAS] - Codifying Fragments;T8. Observability, Monitoring & Diagnostics: Event Logging, T8. Observability, Monitoring & Diagnostics: Logger Configuration, T8. Observability, Monitoring & Diagnostics: Metrics Endpoint, T8. Observability, Monitoring & Diagnostics: Monitoring, T8. Observability, Monitoring & Diagnostics: OpenTelemetry Support;5;;272;272;1;4/3/25;9/14/25
1:137;¶ 274;;"""HeartKit provides several built-in heart-monitoring tasks. Each task is designed to address a unique aspect such as ECG denoising, segmentation, and rhythm/beat classification. The tasks are designed to be modular and can be used independently or in combination to address specific use cases.""";[ATLAS] - Codifying Fragments;T4. Modular Edge Architecture & Service Orchestration: Modular Architecture, T8. Observability, Monitoring & Diagnostics: Monitoring, T10. Resource Efficiency & Performance Optimisation: Performance Improvement, T11 – Stream Processing & Event‑Driven Architectures (Edge): Real-time Processing Needs;4;;274;274;1;4/3/25;9/14/25
1:138;¶ 276;;"""In addition to the built-in tasks, custom tasks can be created by extending the HKTask base class and registering it with the task factory.""";[ATLAS] - Codifying Fragments;T14. Edge Development Frameworks & Programmability: Custom Tasks, T14. Edge Development Frameworks & Programmability: Easy Development Features, T14. Edge Development Frameworks & Programmability: Task Factory;3;;276;276;1;4/3/25;9/14/25
1:139;¶ 278;;"""The task factory, TaskFactory, provides a convenient way to access the built-in tasks. The factory is a thread-safe singleton class that provides a single point of access to the tasks via the tasks' slug names.""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Access Control, T14. Edge Development Frameworks & Programmability: Task Factory;2;;278;278;1;4/3/25;9/14/25
1:140;¶ 280;;"""Bring-Your-Own-Task (BYOT) is a feature that allows users to create custom tasks by extending the HKTask base class and registering it with the TaskFactory. This feature is useful for addressing specific use cases that are not covered by the built-in tasks.""";[ATLAS] - Codifying Fragments;T14. Edge Development Frameworks & Programmability: Custom Tasks, T14. Edge Development Frameworks & Programmability: Easy Development Features, T14. Edge Development Frameworks & Programmability: Task Factory, T14. Edge Development Frameworks & Programmability: User-Friendly APIs;4;;280;280;1;4/3/25;9/14/25
1:141;¶ 282;;"""Signal denoise is the process of removing noise from a physiological signal such as ECG. This task is useful for improving the quality of the signal and for further downstream tasks such as segmentation in which noise can interfere with the delineation of individual waves.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Noise Interference, T9. Optimised AI/ML Execution at the Edge: Data Preprocessing, T9. Optimised AI/ML Execution at the Edge: Signal Denoise, T10. Resource Efficiency & Performance Optimisation: Performance Improvement, T10. Resource Efficiency & Performance Optimisation: Quality Improvement, T17. Network Virtualisation, VPNs & SDN at the Edge: Segmentation;6;;282;282;1;4/3/25;9/14/25
1:142;¶ 284;;"""Rhythm classification is the process of identifying abnormal heart rhythms, also known as arrhythmias, such as atrial fibrillation (AFIB) and atrial flutter (AFL) from ECG signals.""";[ATLAS] - Codifying Fragments;T11 – Stream Processing & Event‑Driven Architectures (Edge): Event Detection and Notification;1;;284;284;1;4/3/25;9/14/25
1:143;¶ 286;;"""AWS IoT FleetWise is an AWS service that enables automakers and fleet operators to collect, store, organize, and monitor data from vehicles.""";[ATLAS] - Codifying Fragments;T8. Observability, Monitoring & Diagnostics: Monitoring, T12. Data Storage, Persistence & Caching: Data Storage Management, T13. Sensor Abstraction & Hardware Interface Integration: Data Collection, T13. Sensor Abstraction & Hardware Interface Integration: Vehicle Data Management;4;;286;286;1;4/3/25;9/14/25
1:144;¶ 288;;"""AWS IoT FleetWise can be used by OEM engineers and data scientists to build vehicle models that can be used to build custom data collection schemes.""";[ATLAS] - Codifying Fragments;T9. Optimised AI/ML Execution at the Edge: Edge Data Processing Applications, T11 – Stream Processing & Event‑Driven Architectures (Edge): Data Transformation and Alerting Services, T13. Sensor Abstraction & Hardware Interface Integration: Data Collection, T13. Sensor Abstraction & Hardware Interface Integration: Vehicle Data Management;4;;288;288;1;4/3/25;9/14/25
1:145;¶ 290;;"""Customers can define the data collection schemes to trigger based on a schedule or on specific conditions such as, but not limited to: 1. Ambient temperature dropping to below 0 degree or 2. Vehicle crosses state lines or 3. Active diagnostic trouble codes.""";[ATLAS] - Codifying Fragments;T7. Infrastructure Automation & Configuration Management: Source Definition, T11 – Stream Processing & Event‑Driven Architectures (Edge): Rule Connection, T13. Sensor Abstraction & Hardware Interface Integration: Data Collection;3;;290;290;1;4/3/25;9/14/25
1:146;¶ 292;;"""FWE receives two documents: 1. Decoder Manifest - this document describes how signals are collected from the vehicle, and will include details such as, but not limited to: Bus ID, network name, decoding information, etc.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Data Transmission, T13. Sensor Abstraction & Hardware Interface Integration: Data Collection, T13. Sensor Abstraction & Hardware Interface Integration: Vehicle Data Management;3;;292;292;1;4/3/25;9/14/25
1:147;¶ 294;;"""2. Data Collection Schemes - this document describes what signals to collect. It also describes the condition logic that defines the enablement of the trigger logic that allows these signals to be collected, for example, when Vehicle Speed > 100 km/Hr and Driver Seatbelt is Off and Ambient Temperature < 0 degree C.""";[ATLAS] - Codifying Fragments;T11 – Stream Processing & Event‑Driven Architectures (Edge): Condition Logic, T11 – Stream Processing & Event‑Driven Architectures (Edge): Real-time Processing Needs, T13. Sensor Abstraction & Hardware Interface Integration: Data Collection, T13. Sensor Abstraction & Hardware Interface Integration: Signal Collection, T13. Sensor Abstraction & Hardware Interface Integration: Vehicle Data Management;5;;294;294;1;4/3/25;9/14/25
1:148;¶ 296;;"""The Development Environment Manager (DEM) provides an abstraction layer for the Development Platform, which encompasses a collection of available resources, such as registries, catalogs, container engines, and more.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Resource Management, T4. Modular Edge Architecture & Service Orchestration: Abstraction Layer, T10. Resource Efficiency & Performance Optimisation: Available Resources, T15. DevOps, CI/CD & Build Environments for Edge: Container Engines;4;;296;296;1;4/3/25;9/14/25
1:149;¶ 298;;"""DEM implements commands that can interact with the platform. These commands can be executed using the command line interface (CLI). Additionally, some commands utilize a Text-based User Interface (TUI) that can be presented on the user's terminal.""";[ATLAS] - Codifying Fragments;T14. Edge Development Frameworks & Programmability: Command Line Interface, T14. Edge Development Frameworks & Programmability: Text-based User Interface, T14. Edge Development Frameworks & Programmability: User Interaction;3;;298;298;1;4/3/25;9/14/25
1:150;¶ 300;;"""The CLI can communicate with the platform in two ways: 1. Over the Platform API, which can be achieved by instantiating the DevEnvLocalSetup class. 2. By registering a UserOutput class, which is used by the core modules to interact with the user.""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: User and Client Entities, T4. Modular Edge Architecture & Service Orchestration: Core Services, T14. Edge Development Frameworks & Programmability: Command Line Interface, T14. Edge Development Frameworks & Programmability: User Interaction;4;;300;300;1;4/3/25;9/14/25
1:151;¶ 302;;"""The platform module depends on the rest of the resources. This concept allows for the creation of a unified interface for all internal resources.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Resource Management, T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Unified APIs, T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Unified Interface, T10. Resource Efficiency & Performance Optimisation: Available Resources;4;;302;302;1;4/3/25;9/14/25
1:152;¶ 304;;Docker is used to communicate directly with the Docker Engine. ;[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Service Management, T15. DevOps, CI/CD & Build Environments for Edge: Docker Engine Communication;2;;304;304;1;4/3/25;9/14/25
1:153;¶ 306;;"""A registry acts as a storage for tool images, allowing them to be stored without consuming space on a developer's computer. This storage facilitates easy sharing of images among collaborators, ensuring consistent tool usage across the project team.""";[ATLAS] - Codifying Fragments;T12. Data Storage, Persistence & Caching: Data Storage Management, T12. Data Storage, Persistence & Caching: Storage Volume Path, T14. Edge Development Frameworks & Programmability: Easy Sharing, T15. DevOps, CI/CD & Build Environments for Edge: Collaborators Interaction, T15. DevOps, CI/CD & Build Environments for Edge: Consistent Tool Usage;5;;306;306;1;4/3/25;9/14/25
1:154;¶ 308;;"""This identity translation module is based on the IdentityTranslationLite design and implements the Identity Translation Pattern. This pattern contains both protocol translation and identity translation.""";[ATLAS] - Codifying Fragments;T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Protocol Translation, T18. Trusted Connectors, Data Sovereignty & Usage Policies: Identity Translation Module, T18. Trusted Connectors, Data Sovereignty & Usage Policies: Identity Translation Pattern;3;;308;308;1;4/3/25;9/14/25
1:155;¶ 310;;"""The Identity Translation module should be configured in the routing table of the IoT Edge device to receive messages from the protocol translation module and send messages to the IoTHub (upstream).""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Message Transmission, T4. Modular Edge Architecture & Service Orchestration: Inter-Module Communication, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud to Edge Communication, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Protocol Translation, T18. Trusted Connectors, Data Sovereignty & Usage Policies: Identity Translation Module;5;;310;310;1;4/3/25;9/14/25
1:156;¶ 312;;"""If this is the first messages received for this leaf device (the leafDeviceId cannot be found in the local device repository), a 'LeafEvent' of type 'create' is sent to the IoTHub indicating that the device should be created by the Azure Function in Azure.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Device Binding, T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Device Creation, T11 – Stream Processing & Event‑Driven Architectures (Edge): Event Detection and Notification, T11 – Stream Processing & Event‑Driven Architectures (Edge): LeafEvent;4;;312;312;1;4/3/25;9/14/25
1:157;¶ 314;;"""The leaf devices are using a symmetric key to authenticate with IoTHub. The symmetric key that is used for this authentication is calculated from the id of the leaf device and the symmetric key of the identity module.""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Authentication Methods, T2. Security, Privacy & Trust Management: Crypto-based ID, T2. Security, Privacy & Trust Management: Device Access Control, T2. Security, Privacy & Trust Management: Security Settings;4;;314;314;1;4/3/25;9/14/25
1:158;¶ 316;;"""The solution also comprises a cloud section that takes care of provisioning the device on the IoT Hub and assigning it as a child of the IoT Edge device.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Provisioning, T4. Modular Edge Architecture & Service Orchestration: Core Services, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Integration, T13. Sensor Abstraction & Hardware Interface Integration: Edge Node Integration;4;;316;316;1;4/3/25;9/14/25
1:159;¶ 318;;"""The sample setup flow uses an unsecure MQTT broker connection (mosquitto) to interact with clients (represented by the Python script sim_clients.py) and a custom implemented protocol translation module (ptm-mqtt) to interact with the identity translation module.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Client Connection Issues, T1. Edge Connectivity & Communication Protocols: Communication Protocol, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Protocol Translation, T18. Trusted Connectors, Data Sovereignty & Usage Policies: Identity Translation;4;;318;318;1;4/3/25;9/14/25
1:160;¶ 320;;"""The core solution runs on an Ubuntu-based virtual machine using K3s. Alternatively, you can deploy this solution to a dedicated hybrid edge device, allowing the machine learning model to operate closer to your equipment.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): New Deployment Options, T13. Sensor Abstraction & Hardware Interface Integration: Edge Node Integration, T13. Sensor Abstraction & Hardware Interface Integration: Hybrid Edge Device, T15. DevOps, CI/CD & Build Environments for Edge: Deployment Environment;4;;320;320;1;4/3/25;9/14/25
1:161;¶ 322;;"""You will leverage Azure ML Model Creation/Deployment to a K3s/AIO Cluster Endpoint. This template provisions the essential Azure Machine Learning resources, the Azure ML Extension, and accompanying notebooks.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Provisioning, T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Unified Deployment, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Integration;3;;322;322;1;4/3/25;9/14/25
1:162;¶ 324;;"""Once you have your model, you can deploy it to your AIO K3s Cluster: Build your model into a Docker image and push it to your Kubernetes/AIO endpoint; Use the Azure ML Extension to serve as the bridge between Azure ML and your K3s/AIO cluster.""";[ATLAS] - Codifying Fragments;T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Integration, T9. Optimised AI/ML Execution at the Edge: Model Deployment, T15. DevOps, CI/CD & Build Environments for Edge: Deployment Environment, T15. DevOps, CI/CD & Build Environments for Edge: Docker Container Mode, T15. DevOps, CI/CD & Build Environments for Edge: Kubernetes Cluster Management;5;;324;324;1;4/3/25;9/14/25
1:163;¶ 326;;"""You will utilize Cerebral to run GenAI directly at the edge on the K3s/AIO Cluster. Cerebral will be deployed out of the box with this template.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): New Deployment Options, T9. Optimised AI/ML Execution at the Edge: Edge Data Processing Applications, T15. DevOps, CI/CD & Build Environments for Edge: Deployment Environment;3;;326;326;1;4/3/25;9/14/25
1:164;¶ 328;;"""A Streamlit application will also be deployed, demonstrating how you can operate within an application on the K3s/Azure IoT Operations (AIO) cluster while leveraging Azure OpenAI, LangChain, and a local small language model (SLM).""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): New Deployment Options, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Integration, T9. Optimised AI/ML Execution at the Edge: Distributed AI Processing, T9. Optimised AI/ML Execution at the Edge: Model Deployment;4;;328;328;1;4/3/25;9/14/25
1:165;¶ 330;;"""Os módulos do IoT Edge são unidades de execução, implementados como contêineres compatíveis com o Docker, que executam a lógica de negócios na borda. Vários módulos podem ser configurados para se comunicar entre si, criando um pipeline de processamento de dados.""";[ATLAS] - Codifying Fragments;T4. Modular Edge Architecture & Service Orchestration: Inter-Module Communication, T9. Optimised AI/ML Execution at the Edge: Edge Data Processing Applications, T11 – Stream Processing & Event‑Driven Architectures (Edge): Processing Pipeline, T15. DevOps, CI/CD & Build Environments for Edge: Docker Container Mode;4;;330;330;1;4/4/25;9/14/25
1:166;¶ 332;;"""O Azure IoT Edge permite implantar processamento de eventos complexos, aprendizado de máquina, reconhecimento de imagem e outros tipos de IA de alto valor sem gravá-la internamente.""";[ATLAS] - Codifying Fragments;T9. Optimised AI/ML Execution at the Edge: Distributed AI Processing, T9. Optimised AI/ML Execution at the Edge: Edge Data Processing Applications;2;;332;332;1;4/4/25;9/14/25
1:167;¶ 334;;"""O Azure IoT Edge oferece suporte para Linux e Windows, portanto você pode codificar para a plataforma de sua escolha. Ele dá suporte para Java, .NET Core 3.1, Node.js, C e Python, para que os desenvolvedores possam codificar em uma linguagem que já conhecem e usar a lógica de negócios existente.""";[ATLAS] - Codifying Fragments;T9. Optimised AI/ML Execution at the Edge: Flexible Edge Computing Services, T10. Resource Efficiency & Performance Optimisation: compatibility issues, T14. Edge Development Frameworks & Programmability: Cross-Platform Runtime, T14. Edge Development Frameworks & Programmability: Easy Development Features;4;;334;334;1;4/4/25;9/14/25
1:168;¶ 336;;"""O runtime do Azure IoT Edge permite lógica personalizada e de nuvem em dispositivos IoT Edge. O runtime se encontra no dispositivo IoT Edge e executa operações de gerenciamento e comunicação.""";[ATLAS] - Codifying Fragments;T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Integration, T9. Optimised AI/ML Execution at the Edge: Edge Data Processing Applications, T9. Optimised AI/ML Execution at the Edge: Flexible Edge Computing Services, T9. Optimised AI/ML Execution at the Edge: Runtime Optimization, T14. Edge Development Frameworks & Programmability: Custom Tasks;5;;336;336;1;4/4/25;9/14/25
1:169;¶ 338;;"""O runtime do Azure IoT Edge é executado em um grande conjunto de dispositivos IoT, o que permite que seja usado de várias maneiras. Ele dá suporte a sistemas operacionais Windows e Linux e abstrai os detalhes de hardware.""";[ATLAS] - Codifying Fragments;T9. Optimised AI/ML Execution at the Edge: Runtime Optimization, T10. Resource Efficiency & Performance Optimisation: Portability, T13. Sensor Abstraction & Hardware Interface Integration: Hardware Compatibility, T14. Edge Development Frameworks & Programmability: Cross-Platform Runtime;4;;338;338;1;4/4/25;9/14/25
1:170;¶ 340;;"""O Azure IoT Edge se integra perfeitamente ao Azure IoT Central para fornecer um painel de controle centralizado para as necessidades da sua solução.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Centralized Management, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Integration, T13. Sensor Abstraction & Hardware Interface Integration: Edge Node Integration, T14. Edge Development Frameworks & Programmability: Dashboard Functionality;4;;340;340;1;4/4/25;9/14/25
1:171;¶ 342;;"""The IoT Edge Runtime manages high-value services running on devices and enables communication between them. It allows workflows running on devices to be configured, deployed and monitored from the cloud - securely and at scale.""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Secure Communication, T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Service Management, T4. Modular Edge Architecture & Service Orchestration: Workflow Configuration, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Integration, T8. Observability, Monitoring & Diagnostics: Monitoring;5;;342;342;1;4/4/25;9/14/25
1:172;¶ 344;;"""Edge Agent - The edge agent is designed to communicate with IoT Hub in order to manage the state of the Edge device (install, launch and monitor modules).""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Edge Device Management, T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Module Management, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud to Edge Communication, T8. Observability, Monitoring & Diagnostics: Monitoring, T9. Optimised AI/ML Execution at the Edge: Edge Data Processing Applications;5;;344;344;1;4/4/25;9/14/25
1:173;¶ 346;;"""User-defined modules allow companies or individuals to create custom or tailored solutions specific to their needs which can be managed by the Edge Runtime.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Module Management, T9. Optimised AI/ML Execution at the Edge: Edge Runtime, T14. Edge Development Frameworks & Programmability: Custom Solutions, T14. Edge Development Frameworks & Programmability: Tailored Solutions, T14. Edge Development Frameworks & Programmability: User-defined Modules;5;;346;346;1;4/4/25;9/14/25
1:174;¶ 348;;"""In environments where the upstream connection has limited throughput (e.g. cellular or satellite), often times certain critical data needs to take precedence over the mass of normal telemetry messages to ensure speedy delivery.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Connection Quality, T1. Edge Connectivity & Communication Protocols: Data Transmission, T10. Resource Efficiency & Performance Optimisation: Performance Improvement, T10. Resource Efficiency & Performance Optimisation: Speedy Delivery, T11 – Stream Processing & Event‑Driven Architectures (Edge): Prioritization of Critical Data;5;;348;348;1;4/4/25;9/14/25
1:175;¶ 350;;"""IoT Edge uses the networking capabilities of the Moby runtime to connect to IoT Hub and provide connectivity between modules.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Connectivity Management, T1. Edge Connectivity & Communication Protocols: Network Configuration, T4. Modular Edge Architecture & Service Orchestration: Inter-Module Communication, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud to Edge Communication, T13. Sensor Abstraction & Hardware Interface Integration: IoT Integration;5;;350;350;1;4/4/25;9/14/25
1:176;¶ 352;;"""Edge Agent and Edge Hub require outbound internet connectivity to IoT Hub to function properly. This means that a route from the azure-iot-edge subnet to the internet must exist and no firewall rules are set up to block traffic.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Connectivity Management, T1. Edge Connectivity & Communication Protocols: Network Configuration, T2. Security, Privacy & Trust Management: Firewall Rules, T2. Security, Privacy & Trust Management: Security Settings, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Route Configuration;5;;352;352;1;4/4/25;9/14/25
1:177;¶ 354;;"""O Azure IoT Edge para Linux no Windows usa os seguintes componentes para permitir que as cargas de trabalho do Linux e do Windows sejam executadas lado a lado e comuniquem-se perfeitamente.""";[ATLAS] - Codifying Fragments;T4. Modular Edge Architecture & Service Orchestration: Inter-Module Communication, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud to Edge Communication, T10. Resource Efficiency & Performance Optimisation: Performance Improvement, T10. Resource Efficiency & Performance Optimisation: workload;4;;354;354;1;4/4/25;9/14/25
1:178;¶ 356;;"""A comunicação bidirecional entre o processo do Windows e a máquina virtual Linux significa que os processos do Windows podem fornecer interfaces do usuário ou proxies de hardware para cargas de trabalho executadas nos contêineres do Linux.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Bi-Directional Communication, T1. Edge Connectivity & Communication Protocols: Communication Protocol, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud to Edge Communication, T14. Edge Development Frameworks & Programmability: User Interaction;4;;356;356;1;4/4/25;9/14/25
